IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
54.214.180.127,443,443,true,PDX,North America,US,Portland,304,10.51
54.186.255.205,443,443,true,PDX,North America,US,Portland,303,10.51
44.242.227.28,443,443,true,PDX,North America,US,Portland,355,10.51
3.79.59.119,8443,443,true,FRA,Europe,DE,Frankfurt,261,10.50
18.133.204.48,443,443,true,LHR,Europe,GB,London,304,10.50
52.42.151.130,443,443,true,SEA,North America,US,Seattle,225,10.50
34.214.172.22,443,443,true,SEA,North America,US,Seattle,534,10.50
54.184.145.84,443,443,true,SEA,North America,US,Seattle,250,10.50
51.20.9.109,443,443,true,CPH,Europe,DK,Copenhagen,255,10.49
35.90.196.132,443,443,true,SEA,North America,US,Seattle,349,10.49
67.226.223.159,443,443,true,LHR,Europe,GB,London,432,10.49
35.93.31.9,443,443,true,SEA,North America,US,Seattle,404,10.49
35.91.77.63,443,443,true,SEA,North America,US,Seattle,275,10.49
35.95.132.157,443,443,true,PDX,North America,US,Portland,211,10.49
50.18.25.238,443,443,true,SJC,North America,US,San Jose,183,10.49
54.191.114.187,443,443,true,PDX,North America,US,Portland,297,10.48
50.112.210.226,443,443,true,PDX,North America,US,Portland,283,10.48
16.16.46.205,443,443,true,ARN,Europe,SE,Stockholm,273,10.48
54.177.196.101,80,443,true,SJC,North America,US,San Jose,361,10.48
35.177.50.118,443,443,true,LHR,Europe,GB,London,215,10.48
44.243.176.106,443,443,true,SEA,North America,US,Seattle,308,10.47
18.175.163.90,443,443,true,LHR,Europe,GB,London,358,10.47
51.44.169.170,2096,443,true,CDG,Europe,FR,Paris,213,10.47
35.91.147.152,443,443,true,SEA,North America,US,Seattle,231,10.47
34.221.118.127,443,443,true,PDX,North America,US,Portland,193,10.46
35.181.145.78,8443,443,true,CDG,Europe,FR,Paris,274,10.46
67.226.223.148,443,443,true,LHR,Europe,GB,London,464,10.46
54.245.73.211,443,443,true,SEA,North America,US,Seattle,331,10.46
54.202.196.126,443,443,true,PDX,North America,US,Portland,216,10.46
34.216.84.108,443,443,true,SEA,North America,US,Seattle,224,10.46
52.89.116.108,443,443,true,SEA,North America,US,Seattle,315,10.46
52.34.47.129,443,443,true,SEA,North America,US,Seattle,236,10.45
54.193.104.34,80,443,true,SJC,North America,US,San Jose,222,10.45
67.226.223.64,80,443,true,LHR,Europe,GB,London,403,10.45
34.220.125.134,443,443,true,PDX,North America,US,Portland,198,10.44
35.92.142.68,443,443,true,SEA,North America,US,Seattle,313,10.44
18.175.169.136,443,443,true,LHR,Europe,GB,London,372,10.44
34.218.248.74,443,443,true,SEA,North America,US,Seattle,359,10.44
54.177.181.158,80,443,true,SJC,North America,US,San Jose,273,10.43
35.165.167.8,443,443,true,PDX,North America,US,Portland,194,10.43
18.237.46.143,443,443,true,SEA,North America,US,Seattle,303,10.43
34.216.124.191,443,443,true,SEA,North America,US,Seattle,266,10.43
67.226.221.96,443,443,true,SJC,North America,US,San Jose,415,10.43
35.91.105.201,443,443,true,SEA,North America,US,Seattle,247,10.43
35.180.89.75,443,443,true,CDG,Europe,FR,Paris,306,10.42
54.190.2.103,443,443,true,SEA,North America,US,Seattle,300,10.42
3.124.208.189,443,443,true,FRA,Europe,DE,Frankfurt,199,10.42
67.226.223.154,80,443,true,LHR,Europe,GB,London,173,10.42
51.20.84.248,443,443,true,CPH,Europe,DK,Copenhagen,227,10.42
18.236.116.211,443,443,true,PDX,North America,US,Portland,264,10.42
34.222.108.13,443,443,true,SEA,North America,US,Seattle,216,10.42
35.92.121.201,443,443,true,SEA,North America,US,Seattle,306,10.41
18.175.213.112,443,443,true,LHR,Europe,GB,London,252,10.41
